TIMESTAMP,HOME.LATITUDE,HOME.LONGITUDE,DATE,GPS.LATITUDE,GPS.LONGITUDE,GPS.ALTITUDE,BAROMETER,FRAME_COUNT,DIFF_TIME,ISO,SHUTTER,FNUM,EV,CT,COLOR_MD,FOCAL_LEN,NAME
00:00:00,,,2018-02-19 08:04:51:265.847,,,,,1,39ms,100,1/240.0,280,0,5627,,,../test-data/SRT-Files/mavic_air.SRT
00:00:00,,,2018-02-19 08:04:51:305.846,,,,,2,40ms,100,1/240.0,280,0,5627,,,../test-data/SRT-Files/mavic_air.SRT
